CONTEC DATA LOGGER,,,,,,,,
Version,Channels,DeviceName,Resolution,SerialNo,Clock,Time Integer,SamplingStartDate,Number
4480,3,AIO-163202FX-USB,16,CONTEC0000,1000,1.49137E+15,"2017/04/05 15:20:26'000""000",10000
ChannelName,DeviceCh,Sequence,Range,ScalingEnabled,MaxScale,MinScale,Option,
Channel 1,1,0,0,0,10,-10,0,
Channel 2,2,1,0,0,10,-10,0,
Channel 3,3,2,0,0,10,-10,0,
Data,,,,,35398.1061,35358.7681,35532.8537,
35402,35377,35548,,,,,,
35408,35371,35551,,,,,,
35403,35375,35548,,,,,,
35401,35378,35549,,,,,,
35405,35368,35548,,,,,,
35407,35368,35550,,,,,,
35405,35377,35551,,,,,,
35407,35374,35550,,,,,,
35408,35375,35548,,,,,,
35406,35372,35550,,,,,,
35404,35374,35556,,,,,,
35398,35372,35562,,,,,,
35406,35374,35549,,,,,,
35404,35366,35551,,,,,,
35403,35372,35551,,,,,,
35403,35372,35547,,,,,,
35411,35366,35537,,,,,,
35407,35364,35542,,,,,,
35402,35373,35545,,,,,,
35408,35367,35550,,,,,,
35408,35370,35547,,,,,,
35405,35370,35548,,,,,,
35406,35363,35547,,,,,,
35403,35364,35542,,,,,,
35400,35365,35548,,,,,,
35405,35369,35550,,,,,,
35403,35371,35549,,,,,,
35405,35372,35551,,,,,,
35406,35372,35550,,,,,,
35401,35372,35550,,,,,,
35403,35374,35551,,,,,,
35402,35375,35549,,,,,,
35400,35375,35546,,,,,,
35404,35373,35544,,,,,,
35401,35369,35556,,,,,,
35400,35366,35555,,,,,,
35399,35368,35557,,,,,,
35398,35373,35552,,,,,,
35406,35365,35548,,,,,,
35397,35364,35551,,,,,,
35399,35365,35546,,,,,,
35397,35368,35549,,,,,,
35399,35368,35550,,,,,,
35400,35375,35550,,,,,,
35405,35370,35545,,,,,,
35401,35373,35550,,,,,,
35402,35368,35555,,,,,,
35400,35364,35548,,,,,,
35399,35367,35550,,,,,,
35400,35362,35555,,,,,,
35402,35368,35549,,,,,,
35398,35372,35556,,,,,,
35401,35372,35550,,,,,,
35403,35374,35551,,,,,,
35404,35371,35546,,,,,,
35407,35366,35554,,,,,,
35404,35374,35542,,,,,,
35402,35369,35546,,,,,,
35405,35374,35555,,,,,,
35399,35373,35548,,,,,,
35398,35374,35547,,,,,,
35398,35374,35548,,,,,,
35399,35370,35541,,,,,,
35405,35372,35545,,,,,,
35402,35366,35553,,,,,,
35405,35368,35547,,,,,,
35402,35373,35548,,,,,,
35402,35375,35546,,,,,,
35401,35371,35556,,,,,,
35398,35369,35552,,,,,,
35404,35376,35551,,,,,,
35406,35375,35557,,,,,,
35399,35379,35556,,,,,,
35394,35375,35557,,,,,,
35396,35381,35558,,,,,,
35404,35372,35552,,,,,,
35403,35376,35544,,,,,,
35402,35373,35542,,,,,,
35402,35368,35547,,,,,,
35400,35370,35548,,,,,,
35402,35377,35551,,,,,,
35398,35380,35556,,,,,,
35405,35376,35555,,,,,,
35402,35373,35556,,,,,,
35402,35372,35553,,,,,,
35402,35372,35553,,,,,,
35405,35369,35558,,,,,,
35408,35370,35549,,,,,,
35409,35374,35549,,,,,,
35409,35372,35553,,,,,,
35401,35369,35547,,,,,,
35402,35367,35552,,,,,,
35406,35372,35550,,,,,,
35400,35367,35546,,,,,,
35400,35368,35550,,,,,,
35401,35364,35552,,,,,,
35397,35363,35550,,,,,,
35402,35358,35544,,,,,,
35409,35362,35541,,,,,,
35398,35361,35548,,,,,,
35404,35363,35548,,,,,,
35399,35362,35553,,,,,,
35401,35365,35555,,,,,,
35401,35369,35552,,,,,,
35401,35362,35550,,,,,,
35397,35369,35546,,,,,,
35396,35375,35546,,,,,,
35401,35368,35548,,,,,,
35401,35373,35546,,,,,,
35401,35373,35546,,,,,,
35404,35376,35546,,,,,,
35404,35375,35548,,,,,,
35399,35366,35547,,,,,,
35404,35366,35552,,,,,,
35403,35359,35552,,,,,,
35401,35364,35549,,,,,,
35402,35364,35552,,,,,,
35406,35368,35546,,,,,,
35404,35369,35555,,,,,,
35408,35368,35551,,,,,,
35400,35367,35553,,,,,,
35402,35366,35549,,,,,,
35405,35366,35547,,,,,,
35398,35372,35546,,,,,,
35402,35367,35550,,,,,,
35402,35365,35549,,,,,,
35405,35369,35545,,,,,,
35404,35364,35544,,,,,,
35404,35369,35546,,,,,,
35404,35370,35545,,,,,,
35405,35367,35545,,,,,,
35402,35369,35554,,,,,,
35406,35372,35554,,,,,,
35407,35375,35553,,,,,,
35402,35377,35548,,,,,,
35404,35373,35547,,,,,,
35401,35366,35544,,,,,,
35401,35372,35548,,,,,,
35402,35374,35555,,,,,,
35402,35367,35550,,,,,,
35403,35366,35549,,,,,,
35403,35366,35545,,,,,,
35405,35368,35548,,,,,,
35405,35372,35547,,,,,,
35398,35375,35548,,,,,,
35400,35370,35548,,,,,,
35396,35368,35552,,,,,,
35400,35366,35552,,,,,,
35402,35367,35541,,,,,,
35404,35368,35545,,,,,,
35401,35379,35549,,,,,,
35404,35365,35552,,,,,,
35404,35369,35554,,,,,,
35404,35369,35550,,,,,,
35404,35380,35549,,,,,,
35403,35373,35548,,,,,,
35400,35370,35543,,,,,,
35400,35364,35549,,,,,,
35402,35365,35552,,,,,,
35403,35370,35543,,,,,,
35402,35365,35551,,,,,,
35403,35377,35549,,,,,,
35407,35371,35546,,,,,,
35404,35378,35548,,,,,,
35409,35372,35551,,,,,,
35406,35372,35556,,,,,,
35401,35371,35557,,,,,,
35406,35368,35556,,,,,,
35410,35369,35561,,,,,,
35406,35367,35557,,,,,,
35407,35367,35557,,,,,,
35405,35372,35556,,,,,,
35402,35374,35556,,,,,,
35401,35366,35555,,,,,,
35402,35362,35555,,,,,,
35401,35370,35549,,,,,,
35407,35375,35548,,,,,,
35406,35364,35545,,,,,,
35407,35360,35548,,,,,,
35405,35360,35547,,,,,,
35405,35367,35549,,,,,,
35406,35366,35548,,,,,,
35406,35369,35542,,,,,,
35401,35369,35542,,,,,,
35402,35369,35546,,,,,,
35404,35368,35546,,,,,,
35398,35372,35552,,,,,,
35403,35372,35557,,,,,,
35401,35372,35554,,,,,,
35403,35374,35550,,,,,,
35405,35372,35553,,,,,,
35405,35369,35546,,,,,,
35404,35365,35548,,,,,,
35405,35372,35554,,,,,,
35397,35365,35547,,,,,,
35401,35368,35549,,,,,,
35404,35370,35557,,,,,,
35398,35372,35556,,,,,,
35406,35364,35550,,,,,,
35401,35366,35552,,,,,,
35403,35363,35549,,,,,,
35404,35366,35545,,,,,,
35405,35371,35545,,,,,,
35405,35364,35548,,,,,,
35404,35366,35551,,,,,,
35404,35370,35553,,,,,,
35400,35375,35553,,,,,,
35402,35369,35552,,,,,,
35404,35371,35552,,,,,,
35404,35375,35551,,,,,,
35404,35361,35551,,,,,,
35403,35370,35551,,,,,,
35408,35380,35549,,,,,,
35405,35380,35547,,,,,,
35401,35366,35547,,,,,,
35402,35367,35544,,,,,,
35411,35365,35547,,,,,,
35403,35375,35548,,,,,,
35404,35373,35544,,,,,,
35400,35376,35545,,,,,,
35398,35373,35549,,,,,,
35397,35370,35547,,,,,,
35397,35371,35546,,,,,,
35403,35366,35550,,,,,,
35399,35364,35553,,,,,,
35398,35368,35553,,,,,,
35398,35363,35553,,,,,,
35398,35364,35545,,,,,,
35406,35368,35547,,,,,,
35404,35369,35549,,,,,,
35401,35372,35551,,,,,,
35399,35372,35547,,,,,,
35398,35370,35543,,,,,,
35399,35368,35545,,,,,,
35400,35366,35551,,,,,,
35405,35363,35552,,,,,,
35399,35372,35552,,,,,,
35402,35366,35548,,,,,,
35403,35365,35546,,,,,,
35405,35362,35543,,,,,,
35406,35368,35548,,,,,,
35402,35366,35548,,,,,,
35401,35365,35545,,,,,,
35399,35368,35545,,,,,,
35402,35371,35551,,,,,,
35402,35366,35556,,,,,,
35405,35364,35549,,,,,,
35404,35369,35544,,,,,,
35403,35369,35552,,,,,,
35399,35365,35552,,,,,,
35401,35367,35548,,,,,,
35403,35368,35546,,,,,,
35402,35370,35546,,,,,,
35402,35365,35547,,,,,,
35402,35370,35538,,,,,,
35402,35368,35544,,,,,,
35400,35365,35547,,,,,,
35400,35369,35549,,,,,,
35401,35365,35544,,,,,,
35399,35365,35545,,,,,,
35401,35360,35543,,,,,,
35404,35364,35543,,,,,,
35410,35373,35546,,,,,,
35406,35368,35549,,,,,,
35403,35372,35548,,,,,,
35405,35372,35546,,,,,,
35400,35379,35552,,,,,,
35401,35372,35550,,,,,,
35405,35368,35551,,,,,,
35406,35366,35551,,,,,,
35408,35369,35551,,,,,,
35404,35368,35544,,,,,,
35402,35366,35550,,,,,,
35404,35367,35551,,,,,,
35404,35364,35550,,,,,,
35406,35370,35551,,,,,,
35406,35371,35549,,,,,,
35400,35367,35544,,,,,,
35403,35371,35553,,,,,,
35409,35363,35552,,,,,,
35403,35359,35546,,,,,,
35401,35364,35548,,,,,,
35399,35361,35547,,,,,,
35401,35362,35546,,,,,,
35401,35369,35551,,,,,,
35399,35376,35549,,,,,,
35399,35370,35551,,,,,,
35401,35368,35549,,,,,,
35404,35372,35545,,,,,,
35401,35373,35545,,,,,,
35404,35371,35548,,,,,,
35403,35367,35548,,,,,,
35406,35373,35543,,,,,,
35404,35374,35547,,,,,,
35403,35371,35553,,,,,,
35405,35368,35556,,,,,,
35404,35368,35554,,,,,,
35402,35369,35550,,,,,,
35398,35360,35552,,,,,,
35399,35366,35554,,,,,,
35399,35371,35546,,,,,,
35401,35372,35549,,,,,,
35404,35378,35548,,,,,,
35404,35371,35543,,,,,,
35404,35372,35547,,,,,,
35405,35370,35552,,,,,,
35402,35376,35554,,,,,,
35405,35374,35553,,,,,,
35401,35374,35548,,,,,,
35395,35369,35544,,,,,,
35399,35368,35545,,,,,,
35398,35371,35548,,,,,,
35401,35365,35543,,,,,,
35401,35367,35545,,,,,,
35400,35373,35541,,,,,,
35404,35372,35540,,,,,,
35398,35368,35555,,,,,,
35399,35365,35553,,,,,,
35395,35367,35553,,,,,,
35398,35359,35548,,,,,,
35397,35366,35550,,,,,,
35400,35367,35548,,,,,,
35396,35367,35548,,,,,,
35410,35364,35549,,,,,,
35405,35367,35550,,,,,,
35404,35361,35556,,,,,,
35404,35371,35554,,,,,,
35408,35372,35553,,,,,,
35401,35377,35551,,,,,,
35403,35376,35551,,,,,,
35406,35380,35545,,,,,,
35402,35371,35552,,,,,,
35402,35362,35552,,,,,,
35402,35367,35544,,,,,,
35397,35365,35541,,,,,,
35397,35371,35544,,,,,,
35399,35367,35557,,,,,,
35401,35366,35559,,,,,,
35401,35369,35551,,,,,,
35401,35370,35547,,,,,,
35402,35369,35550,,,,,,
35402,35365,35549,,,,,,
35405,35364,35545,,,,,,
35403,35364,35543,,,,,,
35407,35364,35546,,,,,,
35397,35369,35552,,,,,,
35399,35376,35551,,,,,,
35400,35369,35551,,,,,,
35403,35369,35557,,,,,,
35399,35362,35552,,,,,,
35400,35374,35550,,,,,,
35402,35373,35549,,,,,,
35403,35374,35550,,,,,,
35402,35378,35552,,,,,,
35401,35369,35547,,,,,,
35401,35372,35550,,,,,,
35400,35376,35552,,,,,,
35399,35380,35551,,,,,,
35402,35378,35549,,,,,,
35405,35374,35545,,,,,,
35402,35366,35546,,,,,,
35400,35369,35551,,,,,,
35397,35364,35548,,,,,,
35400,35376,35552,,,,,,
35403,35370,35547,,,,,,
35404,35372,35548,,,,,,
35401,35369,35549,,,,,,
35405,35373,35548,,,,,,
35404,35375,35549,,,,,,
35405,35371,35547,,,,,,
35402,35373,35548,,,,,,
35403,35375,35547,,,,,,
35399,35370,35552,,,,,,
35401,35364,35551,,,,,,
35402,35357,35547,,,,,,
35406,35364,35547,,,,,,
35406,35364,35544,,,,,,
35405,35365,35551,,,,,,
35402,35376,35548,,,,,,
35404,35366,35546,,,,,,
35402,35369,35545,,,,,,
35402,35373,35549,,,,,,
35409,35373,35547,,,,,,
35404,35373,35544,,,,,,
35400,35365,35545,,,,,,
35404,35363,35552,,,,,,
35407,35369,35545,,,,,,
35410,35371,35546,,,,,,
35402,35370,35547,,,,,,
35403,35375,35550,,,,,,
35403,35378,35551,,,,,,
35404,35378,35548,,,,,,
35401,35378,35556,,,,,,
35411,35374,35553,,,,,,
35402,35376,35554,,,,,,
35400,35378,35550,,,,,,
35400,35373,35560,,,,,,
35407,35366,35556,,,,,,
35404,35364,35549,,,,,,
35406,35363,35553,,,,,,
35404,35369,35551,,,,,,
35405,35373,35547,,,,,,
35403,35377,35549,,,,,,
35401,35376,35543,,,,,,
35399,35370,35548,,,,,,
35403,35374,35553,,,,,,
35402,35373,35555,,,,,,
35406,35373,35549,,,,,,
35405,35380,35556,,,,,,
35402,35372,35552,,,,,,
35404,35367,35548,,,,,,
35404,35375,35547,,,,,,
35405,35378,35549,,,,,,
35405,35365,35542,,,,,,
35405,35371,35541,,,,,,
35402,35366,35545,,,,,,
35400,35370,35543,,,,,,
35403,35371,35557,,,,,,
35400,35367,35555,,,,,,
35400,35372,35548,,,,,,
35394,35366,35554,,,,,,
35401,35369,35552,,,,,,
35402,35366,35549,,,,,,
35401,35373,35546,,,,,,
35402,35375,35542,,,,,,
35406,35377,35547,,,,,,
35402,35373,35554,,,,,,
35404,35374,35549,,,,,,
35398,35377,35548,,,,,,
35401,35374,35548,,,,,,
35397,35369,35539,,,,,,
35400,35370,35549,,,,,,
35400,35372,35551,,,,,,
35401,35372,35552,,,,,,
35402,35368,35554,,,,,,
35398,35369,35545,,,,,,
35404,35377,35548,,,,,,
35402,35371,35542,,,,,,
35402,35372,35545,,,,,,
35399,35382,35548,,,,,,
35402,35374,35546,,,,,,
35404,35369,35550,,,,,,
35400,35367,35554,,,,,,
35403,35360,35550,,,,,,
35406,35364,35546,,,,,,
35399,35366,35547,,,,,,
35400,35372,35550,,,,,,
35401,35378,35551,,,,,,
35408,35365,35551,,,,,,
35399,35375,35547,,,,,,
35405,35378,35544,,,,,,
35404,35376,35548,,,,,,
35396,35372,35551,,,,,,
35407,35367,35545,,,,,,
35406,35368,35548,,,,,,
35401,35368,35544,,,,,,
35405,35372,35543,,,,,,
35405,35365,35546,,,,,,
35406,35372,35547,,,,,,
35403,35368,35543,,,,,,
35402,35379,35544,,,,,,
35402,35380,35548,,,,,,
35403,35385,35546,,,,,,
35401,35375,35549,,,,,,
35404,35368,35547,,,,,,
35407,35373,35548,,,,,,
35404,35377,35552,,,,,,
35403,35377,35546,,,,,,
35401,35382,35558,,,,,,
35406,35374,35559,,,,,,
35399,35372,35554,,,,,,
35404,35377,35553,,,,,,
35403,35367,35545,,,,,,
35405,35373,35548,,,,,,
35404,35372,35549,,,,,,
35404,35372,35554,,,,,,
35408,35372,35552,,,,,,
35412,35372,35548,,,,,,
35405,35373,35550,,,,,,
35404,35368,35552,,,,,,
35402,35371,35546,,,,,,
35404,35372,35549,,,,,,
35401,35372,35554,,,,,,
35404,35383,35549,,,,,,
35400,35382,35541,,,,,,
35405,35374,35547,,,,,,
35401,35377,35552,,,,,,
35406,35373,35545,,,,,,
35406,35369,35548,,,,,,
35406,35369,35548,,,,,,
35405,35368,35542,,,,,,
35403,35366,35542,,,,,,
35405,35367,35551,,,,,,
35404,35360,35548,,,,,,
35400,35372,35545,,,,,,
35404,35381,35546,,,,,,
35413,35382,35550,,,,,,
35409,35378,35551,,,,,,
35407,35376,35557,,,,,,
35407,35373,35551,,,,,,
35400,35368,35555,,,,,,
35405,35366,35548,,,,,,
35403,35363,35548,,,,,,
35404,35360,35548,,,,,,
35407,35366,35541,,,,,,
35407,35370,35546,,,,,,
35406,35377,35546,,,,,,
35404,35373,35548,,,,,,
35413,35374,35548,,,,,,
35406,35368,35548,,,,,,
35405,35367,35546,,,,,,
35407,35364,35544,,,,,,
35402,35369,35545,,,,,,
35403,35368,35543,,,,,,
35402,35364,35546,,,,,,
35400,35367,35547,,,,,,
35404,35370,35551,,,,,,
35408,35372,35544,,,,,,
35404,35374,35550,,,,,,
35402,35372,35551,,,,,,
35398,35370,35545,,,,,,
35402,35371,35544,,,,,,
35399,35373,35545,,,,,,
35402,35363,35547,,,,,,
35401,35370,35543,,,,,,
35406,35374,35549,,,,,,
35402,35372,35555,,,,,,
35398,35375,35557,,,,,,
35403,35378,35555,,,,,,
35405,35378,35551,,,,,,
35404,35371,35553,,,,,,
35404,35368,35547,,,,,,
35406,35375,35543,,,,,,
35403,35365,35549,,,,,,
35405,35364,35548,,,,,,
35403,35370,35547,,,,,,
35404,35367,35538,,,,,,
35405,35366,35548,,,,,,
35400,35365,35546,,,,,,
35398,35371,35548,,,,,,
35404,35373,35548,,,,,,
35404,35370,35548,,,,,,
35404,35370,35550,,,,,,
35401,35368,35545,,,,,,
35400,35369,35549,,,,,,
35403,35371,35550,,,,,,
35400,35368,35548,,,,,,
35397,35368,35542,,,,,,
35399,35367,35555,,,,,,
35401,35365,35550,,,,,,
35400,35372,35544,,,,,,
35406,35373,35548,,,,,,
35402,35374,35548,,,,,,
35409,35377,35552,,,,,,
35405,35376,35560,,,,,,
35405,35373,35551,,,,,,
35404,35375,35544,,,,,,
35408,35372,35546,,,,,,
35404,35365,35553,,,,,,
35404,35368,35545,,,,,,
35400,35371,35546,,,,,,
35399,35370,35547,,,,,,
35400,35364,35546,,,,,,
35404,35368,35550,,,,,,
35401,35378,35549,,,,,,
35406,35379,35546,,,,,,
35404,35371,35546,,,,,,
35404,35370,35547,,,,,,
35408,35369,35542,,,,,,
35404,35377,35545,,,,,,
35404,35373,35553,,,,,,
35400,35371,35550,,,,,,
35405,35372,35551,,,,,,
35405,35371,35553,,,,,,
35401,35368,35551,,,,,,
35405,35365,35544,,,,,,
35404,35371,35543,,,,,,
35400,35369,35548,,,,,,
35404,35374,35548,,,,,,
35403,35369,35548,,,,,,
35404,35367,35546,,,,,,
35405,35366,35548,,,,,,
35399,35370,35542,,,,,,
35405,35366,35548,,,,,,
35401,35365,35548,,,,,,
35400,35368,35546,,,,,,
35404,35370,35544,,,,,,
35405,35374,35546,,,,,,
35408,35372,35547,,,,,,
35403,35378,35551,,,,,,
35403,35366,35555,,,,,,
35408,35372,35550,,,,,,
35403,35379,35550,,,,,,
35403,35372,35543,,,,,,
35405,35369,35549,,,,,,
35399,35369,35545,,,,,,
35400,35367,35540,,,,,,
35400,35365,35542,,,,,,
35400,35381,35548,,,,,,
35403,35381,35554,,,,,,
35401,35378,35545,,,,,,
35402,35377,35548,,,,,,
35400,35369,35548,,,,,,
35401,35361,35553,,,,,,
35400,35352,35552,,,,,,
35401,35363,35556,,,,,,
35398,35364,35551,,,,,,
35401,35361,35548,,,,,,
35398,35372,35550,,,,,,
35402,35369,35555,,,,,,
35404,35371,35551,,,,,,
35404,35373,35552,,,,,,
35402,35376,35551,,,,,,
35402,35370,35557,,,,,,
35403,35367,35553,,,,,,
35402,35362,35552,,,,,,
35400,35366,35547,,,,,,
35401,35365,35546,,,,,,
35408,35372,35550,,,,,,
35407,35371,35546,,,,,,
35407,35365,35547,,,,,,
35404,35377,35545,,,,,,
35408,35378,35548,,,,,,
35406,35387,35549,,,,,,
35404,35375,35547,,,,,,
35403,35375,35553,,,,,,
35400,35378,35557,,,,,,
35400,35376,35556,,,,,,
35398,35370,35561,,,,,,
35402,35364,35559,,,,,,
35403,35368,35550,,,,,,
35402,35367,35548,,,,,,
35400,35371,35557,,,,,,
35402,35369,35549,,,,,,
35400,35375,35550,,,,,,
35400,35375,35548,,,,,,
35401,35370,35538,,,,,,
35401,35369,35541,,,,,,
35405,35364,35544,,,,,,
35406,35368,35548,,,,,,
35400,35367,35546,,,,,,
35397,35365,35543,,,,,,
35401,35368,35554,,,,,,
35399,35364,35555,,,,,,
35402,35375,35559,,,,,,
35401,35370,35558,,,,,,
35403,35374,35561,,,,,,
35404,35378,35555,,,,,,
35406,35375,35559,,,,,,
35407,35374,35552,,,,,,
35406,35364,35549,,,,,,
35404,35372,35549,,,,,,
35407,35373,35551,,,,,,
35404,35369,35551,,,,,,
35400,35364,35546,,,,,,
35404,35366,35550,,,,,,
35399,35361,35555,,,,,,
35400,35367,35541,,,,,,
35398,35372,35549,,,,,,
35400,35375,35548,,,,,,
35400,35364,35550,,,,,,
35402,35369,35552,,,,,,
35404,35368,35550,,,,,,
35400,35372,35554,,,,,,
35401,35366,35547,,,,,,
35405,35366,35544,,,,,,
35398,35363,35548,,,,,,
35399,35368,35553,,,,,,
35401,35369,35549,,,,,,
35400,35369,35546,,,,,,
35401,35365,35551,,,,,,
35403,35365,35547,,,,,,
35400,35369,35561,,,,,,
35400,35367,35554,,,,,,
35401,35369,35557,,,,,,
35404,35368,35553,,,,,,
35403,35368,35548,,,,,,
35405,35370,35548,,,,,,
35397,35373,35546,,,,,,
35404,35369,35552,,,,,,
35405,35372,35549,,,,,,
35405,35371,35551,,,,,,
35408,35369,35545,,,,,,
35402,35369,35549,,,,,,
35405,35371,35553,,,,,,
35401,35372,35551,,,,,,
35402,35368,35551,,,,,,
35399,35373,35558,,,,,,
35404,35376,35552,,,,,,
35402,35371,35544,,,,,,
35403,35372,35545,,,,,,
35397,35365,35545,,,,,,
35406,35373,35545,,,,,,
35401,35371,35551,,,,,,
35403,35370,35548,,,,,,
35403,35368,35544,,,,,,
35401,35369,35549,,,,,,
35402,35365,35548,,,,,,
35404,35368,35547,,,,,,
35411,35360,35552,,,,,,
35404,35364,35549,,,,,,
35403,35366,35549,,,,,,
35402,35366,35549,,,,,,
35405,35372,35546,,,,,,
35407,35373,35549,,,,,,
35403,35375,35545,,,,,,
35401,35373,35551,,,,,,
35401,35376,35547,,,,,,
35400,35372,35548,,,,,,
35402,35380,35553,,,,,,
35403,35376,35555,,,,,,
35404,35375,35555,,,,,,
35403,35367,35556,,,,,,
35397,35362,35548,,,,,,
35395,35373,35548,,,,,,
35401,35372,35555,,,,,,
35398,35372,35548,,,,,,
35403,35376,35543,,,,,,
35410,35378,35545,,,,,,
35407,35369,35551,,,,,,
35410,35371,35552,,,,,,
35403,35368,35544,,,,,,
35404,35370,35544,,,,,,
35403,35370,35548,,,,,,
35404,35369,35554,,,,,,
35403,35370,35548,,,,,,
35402,35370,35551,,,,,,
35407,35370,35545,,,,,,
35404,35362,35551,,,,,,
35408,35378,35543,,,,,,
35405,35372,35548,,,,,,
35402,35373,35544,,,,,,
35408,35381,35546,,,,,,
35406,35380,35551,,,,,,
35402,35376,35551,,,,,,
35403,35372,35550,,,,,,
35402,35369,35549,,,,,,
35399,35369,35547,,,,,,
35399,35373,35548,,,,,,
35401,35366,35540,,,,,,
35405,35364,35546,,,,,,
35407,35361,35548,,,,,,
35409,35364,35547,,,,,,
35409,35372,35555,,,,,,
35408,35373,35552,,,,,,
35404,35373,35553,,,,,,
35402,35372,35553,,,,,,
35401,35365,35551,,,,,,
35401,35360,35549,,,,,,
35404,35362,35548,,,,,,
35401,35365,35549,,,,,,
35401,35366,35548,,,,,,
35402,35364,35548,,,,,,
35400,35363,35548,,,,,,
35401,35366,35547,,,,,,
35404,35369,35546,,,,,,
35400,35367,35544,,,,,,
35403,35372,35544,,,,,,
35401,35369,35547,,,,,,
35403,35369,35550,,,,,,
35404,35373,35550,,,,,,
35401,35372,35548,,,,,,
35399,35372,35552,,,,,,
35401,35368,35545,,,,,,
35401,35377,35551,,,,,,
35402,35381,35553,,,,,,
35400,35383,35555,,,,,,
35403,35380,35557,,,,,,
35404,35371,35561,,,,,,
35404,35374,35554,,,,,,
35404,35373,35553,,,,,,
35401,35370,35544,,,,,,
35404,35371,35547,,,,,,
35403,35366,35552,,,,,,
35400,35368,35549,,,,,,
35400,35370,35545,,,,,,
35402,35369,35554,,,,,,
35402,35367,35549,,,,,,
35401,35364,35545,,,,,,
35401,35370,35553,,,,,,
35404,35369,35549,,,,,,
35404,35375,35549,,,,,,
35408,35377,35549,,,,,,
35404,35375,35554,,,,,,
35402,35370,35556,,,,,,
35403,35368,35550,,,,,,
35403,35368,35543,,,,,,
35404,35373,35549,,,,,,
35405,35376,35549,,,,,,
35400,35371,35546,,,,,,
35399,35369,35548,,,,,,
35404,35373,35554,,,,,,
35401,35378,35553,,,,,,
35400,35368,35551,,,,,,
35397,35373,35549,,,,,,
35397,35371,35543,,,,,,
35402,35366,35546,,,,,,
35402,35370,35550,,,,,,
35407,35378,35552,,,,,,
35407,35372,35549,,,,,,
35401,35369,35549,,,,,,
35397,35366,35546,,,,,,
35401,35365,35552,,,,,,
35404,35367,35549,,,,,,
35408,35368,35549,,,,,,
35406,35372,35551,,,,,,
35406,35372,35549,,,,,,
35403,35368,35548,,,,,,
35403,35369,35553,,,,,,
35404,35374,35552,,,,,,
35402,35374,35548,,,,,,
35403,35374,35554,,,,,,
35404,35379,35554,,,,,,
35404,35378,35547,,,,,,
35400,35375,35550,,,,,,
35401,35366,35551,,,,,,
35402,35369,35550,,,,,,
35399,35369,35548,,,,,,
35402,35372,35547,,,,,,
35404,35376,35551,,,,,,
35401,35374,35548,,,,,,
35398,35368,35546,,,,,,
35400,35369,35547,,,,,,
35407,35367,35550,,,,,,
35402,35365,35554,,,,,,
35402,35370,35557,,,,,,
35398,35359,35558,,,,,,
35401,35364,35553,,,,,,
35401,35362,35549,,,,,,
35396,35368,35551,,,,,,
35401,35372,35550,,,,,,
35399,35376,35553,,,,,,
35404,35374,35554,,,,,,
35404,35374,35547,,,,,,
35400,35372,35548,,,,,,
35401,35369,35551,,,,,,
35396,35372,35546,,,,,,
35401,35374,35545,,,,,,
35405,35368,35550,,,,,,
35402,35358,35558,,,,,,
35403,35373,35552,,,,,,
35405,35373,35555,,,,,,
35399,35372,35558,,,,,,
35399,35379,35557,,,,,,
35399,35371,35551,,,,,,
35397,35367,35543,,,,,,
35399,35370,35551,,,,,,
35399,35369,35548,,,,,,
35398,35367,35545,,,,,,
35402,35366,35550,,,,,,
35400,35366,35556,,,,,,
35405,35368,35548,,,,,,
35404,35370,35557,,,,,,
35401,35372,35558,,,,,,
35399,35376,35551,,,,,,
35408,35375,35549,,,,,,
35403,35375,35548,,,,,,
35401,35369,35548,,,,,,
35402,35372,35546,,,,,,
35401,35370,35548,,,,,,
35405,35371,35550,,,,,,
35400,35367,35551,,,,,,
35401,35369,35549,,,,,,
35404,35368,35546,,,,,,
35407,35361,35548,,,,,,
35403,35370,35549,,,,,,
35404,35370,35554,,,,,,
35403,35374,35555,,,,,,
35406,35375,35556,,,,,,
35400,35369,35555,,,,,,
35399,35370,35553,,,,,,
35399,35369,35550,,,,,,
35398,35371,35555,,,,,,
35398,35368,35551,,,,,,
35396,35369,35547,,,,,,
35398,35366,35547,,,,,,
35402,35375,35546,,,,,,
35402,35373,35546,,,,,,
35398,35369,35548,,,,,,
35402,35366,35544,,,,,,
35404,35372,35540,,,,,,
35402,35374,35552,,,,,,
35403,35376,35550,,,,,,
35401,35378,35549,,,,,,
35403,35367,35548,,,,,,
35397,35366,35549,,,,,,
35396,35368,35553,,,,,,
35402,35369,35551,,,,,,
35397,35369,35549,,,,,,
35405,35368,35550,,,,,,
35404,35371,35554,,,,,,
35403,35376,35551,,,,,,
35405,35380,35541,,,,,,
35404,35373,35544,,,,,,
35402,35368,35545,,,,,,
35400,35364,35546,,,,,,
35404,35366,35548,,,,,,
35400,35362,35551,,,,,,
35400,35369,35547,,,,,,
35402,35369,35548,,,,,,
35404,35370,35547,,,,,,
35404,35372,35544,,,,,,
35404,35372,35548,,,,,,
35405,35369,35542,,,,,,
35398,35366,35543,,,,,,
35401,35370,35545,,,,,,
35404,35373,35546,,,,,,
35405,35367,35549,,,,,,
35404,35370,35560,,,,,,
35406,35382,35554,,,,,,
35405,35372,35552,,,,,,
35404,35366,35550,,,,,,
35405,35367,35552,,,,,,
35402,35367,35548,,,,,,
35400,35360,35544,,,,,,
